CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,CustomerSentimentScore,PersonaTag,Churn
c001,45,Female,New York,Gold,55,2150.75,Electronics,2023-11-20,0.65,15.3,92,High,"Great service and fast delivery! My new gadget works perfectly.",0.9,Loyal,0
c002,28,Male,Los Angeles,Silver,12,380.50,Clothing,2024-01-15,0.48,8.1,78,Medium,"Good quality items, but shipping was a bit slow this time.",0.6,Active Buyer,0
c003,52,Other,Chicago,Platinum,88,5100.20,Home Goods,2024-02-10,0.72,18.9,98,High,"Absolutely love the products and the rewards program!",1.0,Loyal,0
c004,35,Female,Houston,Bronze,3,75.99,Books,2023-05-22,0.15,3.5,35,Low,"Didn't find what I was looking for easily.",0.2,Occasional,1
c005,61,Male,Phoenix,Gold,30,1550.00,Beauty,2023-12-01,0.55,12.7,85,Medium,"Happy with my recent purchases, quality is consistent.",0.8,Engaged,0
c006,22,Female,Philadelphia,Silver,7,190.40,Sports,2023-06-10,0.25,5.0,50,Low,"The website was confusing to navigate.",0.4,Risk of Churn,1
c007,40,Male,San Antonio,Platinum,70,4500.00,Outdoors,2024-03-05,0.80,20.1,95,High,"Excellent customer support and product range.",0.95,Loyal,0
c008,58,Female,San Diego,Bronze,5,120.00,Toys,2023-07-18,0.10,2.8,20,Low,"Item was not as described, very disappointed.",-0.7,Dissatisfied,1
c009,33,Other,Dallas,Silver,25,650.70,Groceries,2024-01-28,0.52,9.5,70,Medium,"Reliable delivery and good value for money.",0.7,Active Buyer,0
c010,49,Male,San Jose,Gold,40,1900.80,Electronics,2023-04-01,0.30,7.2,45,Medium,"Prices seem to have increased recently.",0.3,Risk of Churn,1
c011,27,Female,New York,Bronze,2,50.00,Clothing,2023-08-05,0.18,4.0,30,Low,"Never came back after the first order.",0.1,Inactive,1
c012,55,Male,Los Angeles,Platinum,65,4000.00,Home Goods,2024-02-28,0.70,17.5,90,High,"Consistently great experience with this store.",1.0,Loyal,0
c013,31,Female,Chicago,Silver,18,450.20,Books,2023-10-12,0.45,7.8,65,Medium,"Found some good reads, website is okay.",0.5,Occasional,0
c014,43,Other,Houston,Gold,38,1800.00,Beauty,2023-05-15,0.22,6.5,40,Low,"Had an issue with a product return, left a bad taste.",-0.3,Dissatisfied,1
c015,29,Male,Phoenix,Bronze,1,25.00,Sports,2023-09-01,0.08,1.5,15,Low,"Made one purchase and didn't engage further.",-0.1,Inactive,1
c016,63,Female,Philadelphia,Platinum,80,5500.50,Outdoors,2024-03-18,0.85,22.0,99,High,"The best gear for my adventures! Always satisfied.",1.0,Loyal,0
c017,37,Male,San Antonio,Bronze,4,90.00,Toys,2023-06-25,0.12,3.0,25,Low,"Site was slow, didn't bother exploring much.",-0.2,Risk of Churn,1
c018,50,Female,San Diego,Gold,45,2200.00,Groceries,2024-01-08,0.60,14.0,88,High,"Regular customer, never had major issues.",0.85,Loyal,0
c019,24,Other,Dallas,Silver,9,250.00,Electronics,2023-07-01,0.28,5.5,55,Medium,"Expected faster delivery times.",0.3,Occasional,1
c020,48,Male,San Jose,Bronze,6,150.00,Clothing,2023-03-10,0.05,1.0,10,Low,"Completely stopped interacting after a poor initial experience.",-0.8,Inactive,1
c021,39,Female,New York,Gold,50,2500.00,Home Goods,2024-02-01,0.75,16.5,91,High,"Reliable source for quality home items.",0.9,Loyal,0
c022,53,Male,Los Angeles,Silver,10,300.00,Books,2023-08-20,0.35,6.0,58,Medium,"Found a few books, but the selection could be better.",0.5,Occasional,0
c023,30,Other,Chicago,Platinum,2,80.00,Beauty,2023-04-18,0.11,2.5,18,Low,"Only bought once, no reason to return.",-0.4,Inactive,1
c024,41,Female,Houston,Bronze,7,180.00,Sports,2023-09-15,0.19,4.5,32,Low,"Was hoping for more sales or discounts.",0.0,Risk of Churn,1
c025,60,Male,Phoenix,Gold,60,3500.00,Outdoors,2024-03-10,0.78,19.5,94,High,"Fantastic products for outdoor enthusiasts.",0.98,Loyal,0
c026,26,Female,Philadelphia,Silver,8,210.00,Toys,2023-11-05,0.40,7.0,62,Medium,"My kids liked the toys, might order again.",0.6,Occasional,0
c027,47,Male,San Antonio,Bronze,3,60.00,Groceries,2023-05-01,0.09,1.8,12,Low,"Had issues with missing items, didn't use again.",-0.9,Dissatisfied,1
c028,51,Female,San Diego,Platinum,75,4800.00,Electronics,2024-01-22,0.82,21.0,96,High,"Always my go-to for electronics, top service.",1.0,Loyal,0
c029,34,Other,Dallas,Silver,15,400.00,Clothing,2023-10-25,0.38,6.8,50,Medium,"Decent selection, fair prices.",0.55,Occasional,0
c030,46,Male,San Jose,Bronze,5,100.00,Home Goods,2023-07-08,0.14,3.2,28,Low,"Purchased one item but wasn't impressed with the quality.",-0.6,Risk of Churn,1
