CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,CustomerSentimentScore,PersonaTag,Churn
1,45,Female,USA-West,Gold,75,1580.50,Clothing,2024-07-15,0.08,25.5,78,Frequent,"Excellent service and quality!",0.9,Loyal,0
2,28,Male,USA-East,Bronze,5,120.75,Electronics,2023-01-10,0.02,5.2,15,None,"Product didn't meet expectations.",-0.7,Inactive,1
3,62,Female,USA-South,Platinum,150,4500.00,Home Goods,2024-07-20,0.12,45.0,95,Frequent,"Always reliable and high quality items.",1.0,Loyal,0
4,35,Male,USA-North,Silver,30,650.20,Books,2024-06-01,0.06,18.7,55,Occasional,"Good selection, delivery was a bit slow.",0.4,Occasional Buyer,0
5,51,Female,USA-West,Bronze,2,55.00,Beauty,2022-11-05,0.01,3.1,8,None,"Found better prices elsewhere.",-0.5,Bargain Hunter,1
6,22,Male,USA-East,Bronze,12,280.90,Sports,2024-07-18,0.09,15.0,60,Frequent,"Site is easy to navigate, good products.",0.7,New Customer,0
7,49,Female,USA-South,Gold,90,2100.30,Groceries,2024-07-19,0.10,30.2,85,Frequent,"Very satisfied with the fresh produce.",0.95,Loyal,0
8,31,Male,USA-North,Silver,8,180.50,Electronics,2023-03-20,0.03,7.8,20,None,"Had issues with customer support.",-0.6,Dissatisfied,1
9,58,Female,USA-West,Platinum,180,5800.00,Clothing,2024-07-21,0.15,50.0,100,Frequent,"Premium experience every time.",1.0,Loyal,0
10,25,Male,USA-East,Bronze,1,35.00,Books,2022-09-15,0.005,2.5,5,None,"Never used the service again.",-0.8,Inactive,1
11,40,Female,USA-South,Silver,45,950.00,Home Goods,2024-07-10,0.07,22.1,65,Occasional,"Decent products for the price.",0.5,Occasional Buyer,0
12,33,Male,USA-North,Bronze,3,70.00,Beauty,2023-02-01,0.01,4.0,10,None,"Wasn't impressed with the selection.",-0.4,Inactive,1
13,55,Female,USA-West,Gold,110,3200.75,Electronics,2024-07-16,0.11,38.5,90,Frequent,"Reliable electronics, excellent warranty.",0.9,Loyal,0
14,29,Male,USA-East,Silver,20,450.60,Sports,2024-05-20,0.08,16.5,58,Occasional,"Found what I needed, good prices.",0.6,Occasional Buyer,0
15,47,Female,USA-South,Bronze,6,140.00,Groceries,2022-12-01,0.02,6.0,12,None,"Switched to a local store.",-0.5,Inactive,1
16,65,Male,USA-North,Platinum,200,6500.00,Clothing,2024-07-22,0.14,55.0,98,Frequent,"Top quality apparel and service.",1.0,Loyal,0
17,38,Female,USA-West,Silver,15,350.00,Books,2023-04-18,0.04,9.5,25,None,"Lost interest after a few purchases.",-0.3,Inactive,1
18,21,Male,USA-East,Bronze,4,90.00,Home Goods,2024-07-17,0.07,10.0,40,Occasional,"First purchase was smooth.",0.6,New Customer,0
19,53,Female,USA-South,Gold,130,3800.20,Beauty,2024-07-14,0.13,40.0,92,Frequent,"Love the variety of beauty products.",0.95,Loyal,0
20,30,Male,USA-North,Bronze,2,60.00,Sports,2022-10-25,0.01,3.5,7,None,"Forgot I even had an account.",-0.7,Inactive,1
21,42,Female,USA-West,Silver,50,1100.80,Groceries,2024-07-13,0.09,28.0,70,Occasional,"Convenient service for groceries.",0.8,Loyal,0
22,26,Male,USA-East,Bronze,7,160.00,Electronics,2023-05-10,0.03,8.2,22,None,"Items were overpriced.",-0.6,Dissatisfied,1
23,59,Female,USA-South,Platinum,165,5100.00,Clothing,2024-07-23,0.14,52.0,97,Frequent,"My go-to for fashion.",1.0,Loyal,0
24,34,Male,USA-North,Silver,10,250.00,Books,2024-04-01,0.05,12.0,35,Occasional,"It was okay, nothing special.",0.3,Occasional Buyer,0
25,48,Female,USA-West,Bronze,3,80.00,Home Goods,2023-01-05,0.02,5.5,18,None,"Decided not to continue.",-0.4,Inactive,1
26,61,Male,USA-East,Gold,140,4000.00,Beauty,2024-07-11,0.12,42.0,93,Frequent,"Exceptional quality cosmetics.",0.9,Loyal,0
27,23,Female,USA-South,Bronze,1,40.00,Sports,2022-11-10,0.008,2.0,4,None,"One purchase was enough.",-0.8,Inactive,1
28,56,Male,USA-North,Platinum,190,6200.00,Groceries,2024-07-24,0.15,58.0,99,Frequent,"Excellent service and fresh products.",1.0,Loyal,0
29,39,Female,USA-West,Silver,25,550.00,Electronics,2023-06-30,0.04,10.5,30,Occasional,"Found a better retailer for electronics.",-0.5,Dissatisfied,1
30,50,Male,USA-East,Gold,100,2800.00,Clothing,2024-07-12,0.11,35.0,88,Frequent,"Great deals on clothing.",0.8,Loyal,0
