CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,CustomerSentimentScore,PersonaTag,Churn
C001,45,Female,Los Angeles,CA,Gold,35,1575.50,Electronics,2023-11-20,0.15,22,High,Yes,Positive feedback,5,Loyal,0
C002,29,Male,New York,NY,Bronze,2,85.00,Clothing,2022-07-10,0.02,3,Low,No,No review submitted,3,Dormant,1
C003,62,Female,Chicago,IL,Silver,18,670.20,Books,2023-10-05,0.08,15,Medium,Yes,Good experience overall,4,Casual Shopper,0
C004,38,Male,Houston,TX,Platinum,50,3500.75,Home Goods,2023-12-18,0.20,35,High,Yes,Excellent service and products,5,Loyal,0
C005,51,Female,Phoenix,AZ,Bronze,0,0.00,N/A,2021-01-15,0.01,1,Low,No,Never purchased,3,Dormant,1
C006,24,Male,Los Angeles,CA,Silver,7,210.50,Beauty,2023-09-10,0.07,10,Medium,No,Satisfied with purchase,4,Casual Shopper,0
C007,70,Female,New York,NY,Bronze,1,45.00,Sports,2022-03-20,0.01,2,Low,No,Product was okay,3,Dormant,1
C008,33,Male,Chicago,IL,Gold,25,1120.00,Electronics,2023-11-30,0.18,28,High,Yes,Very happy with my order,5,Loyal,0
C009,49,Female,Houston,TX,Bronze,5,150.00,Clothing,2022-08-01,0.03,4,Low,No,Poor quality item,1,Bargain Hunter,1
C010,27,Male,Phoenix,AZ,Silver,12,480.00,Books,2023-12-01,0.09,12,Medium,Yes,Quick delivery,4,Casual Shopper,0
C011,55,Female,Los Angeles,CA,Platinum,40,4200.00,Home Goods,2023-12-22,0.25,40,High,Yes,Consistently great experience,5,Loyal,0
C012,31,Male,New York,NY,Bronze,0,0.00,N/A,2022-05-19,0.005,0,Low,No,Inactive account,3,Dormant,1
C013,42,Female,Chicago,IL,Gold,28,1300.00,Beauty,2023-11-15,0.16,20,High,Yes,Love the selection,5,Loyal,0
C014,68,Male,Houston,TX,Bronze,3,90.00,Sports,2022-06-01,0.02,3,Low,No,Disappointed with customer service,2,Dormant,1
C015,23,Female,Phoenix,AZ,Silver,8,240.00,Electronics,2023-10-28,0.06,9,Medium,No,Item was as described,4,Casual Shopper,0
C016,58,Male,Los Angeles,CA,Bronze,0,0.00,N/A,2021-08-01,0.008,0,Low,No,No recent activity,3,Dormant,1
C017,36,Female,New York,NY,Gold,30,1450.00,Clothing,2023-12-10,0.19,30,High,Yes,Happy repeat customer,5,Loyal,0
C018,53,Male,Chicago,IL,Silver,6,180.00,Books,2022-09-15,0.035,5,Low,No,Website was confusing,2,Dormant,1
C019,26,Female,Houston,TX,Platinum,45,4800.00,Home Goods,2023-12-20,0.22,38,High,Yes,Best online shopping experience,5,Loyal,0
C020,65,Male,Phoenix,AZ,Bronze,2,70.00,Beauty,2022-04-12,0.01,2,Low,No,Product didn't work,1,Bargain Hunter,1
C021,48,Female,Los Angeles,CA,Gold,32,1600.00,Sports,2023-11-01,0.17,25,High,Yes,Always find what I need,5,Loyal,0
C022,39,Male,New York,NY,Bronze,4,120.00,Electronics,2022-10-08,0.04,6,Low,No,Item arrived damaged,2,Dormant,1
C023,59,Female,Chicago,IL,Silver,15,550.00,Clothing,2023-11-25,0.09,14,Medium,Yes,Good value for money,4,Casual Shopper,0
C024,30,Male,Houston,TX,Bronze,0,0.00,N/A,2021-05-05,0.006,0,Low,No,Account dormant for years,3,Dormant,1
C025,44,Female,Phoenix,AZ,Platinum,38,4000.00,Books,2023-12-15,0.21,33,High,Yes,Highly recommend this site,5,Loyal,0
C026,61,Male,Los Angeles,CA,Bronze,1,30.00,Home Goods,2022-11-11,0.025,4,Low,No,Not interested anymore,3,Dormant,1
C027,28,Female,New York,NY,Gold,20,950.00,Beauty,2023-12-05,0.12,18,Medium,Yes,Pleased with my purchases,4,Loyal,0
C028,50,Male,Chicago,IL,Bronze,3,100.00,Sports,2022-12-01,0.03,5,Low,No,Didn't like the product,1,Dormant,1
C029,35,Female,Houston,TX,Silver,10,350.00,Electronics,2023-10-18,0.075,11,Medium,No,Average shopping experience,3,Casual Shopper,0
C030,67,Male,Phoenix,AZ,Bronze,0,0.00,N/A,2021-03-25,0.007,0,Low,No,No activity for a long time,3,Dormant,1
