StoreID,Date,total_revenue,avg_transaction_value,transaction_count,unique_customers,unique_products,total_quantity,total_discounts,revenue_per_customer,items_per_transaction
1,2022-01-01,6510.12,171.31894736842105,38,12,27,75,150.01999999999998,542.51,1.9736842105263157
1,2022-01-02,3683.01,175.3814285714286,21,10,17,41,112.7,368.30100000000004,1.9523809523809523
1,2022-01-03,1943.75,161.97916666666666,12,5,12,23,33.36,388.75,1.9166666666666667
1,2022-01-04,6051.44,208.6703448275862,29,11,21,63,7.84,550.1309090909091,2.1724137931034484
1,2022-01-05,1843.92,204.88,9,5,7,20,23.53,368.784,2.2222222222222223
1,2022-01-06,3888.35,149.55192307692306,26,10,22,49,3.7,388.835,1.8846153846153846
1,2022-01-07,1579.77,197.47125,8,3,8,14,17.75,526.59,1.75
1,2022-01-08,4618.63,184.7452,25,11,20,53,33.55,419.87545454545455,2.12
1,2022-01-09,4960.5,160.01612903225808,31,16,16,52,49.08,310.03125,1.6774193548387097
1,2022-01-10,7140.280000000001,223.13375000000002,32,7,24,67,89.06,1020.0400000000001,2.09375
1,2022-01-11,1801.8700000000001,163.80636363636364,11,6,11,20,93.66,300.31166666666667,1.8181818181818181
1,2022-01-12,1061.12,117.9022222222222,9,2,6,16,0.0,530.56,1.7777777777777777
1,2022-01-13,5754.03,319.6683333333333,18,7,14,43,0.0,822.0042857142856,2.388888888888889
1,2022-01-14,3423.51,190.19500000000002,18,8,13,34,39.9,427.93875,1.8888888888888888
1,2022-01-15,7387.5,189.42307692307693,39,11,25,77,94.97,671.5909090909091,1.9743589743589745
1,2022-01-16,2969.32,129.1008695652174,23,8,17,43,31.98,371.165,1.8695652173913044
1,2022-01-17,4319.04,205.66857142857143,21,8,18,42,65.46,539.88,2.0
1,2022-01-18,4767.33,190.6932,25,10,22,47,113.3,476.733,1.88
1,2022-01-19,5460.84,195.03,28,10,21,59,69.02,546.0840000000001,2.107142857142857
1,2022-01-20,2808.84,255.34909090909093,11,5,10,23,0.0,561.768,2.090909090909091
1,2022-01-21,3444.59,215.286875,16,7,15,33,168.69,492.0842857142857,2.0625
1,2022-01-22,6193.2699999999995,187.67484848484847,33,11,20,58,15.389999999999999,563.0245454545454,1.7575757575757576
1,2022-01-23,7478.88,196.81263157894736,38,17,29,77,280.59000000000003,439.9341176470588,2.026315789473684
1,2022-01-24,5021.41,161.98096774193547,31,12,20,54,80.73,418.4508333333333,1.7419354838709677
1,2022-01-25,3258.95,217.26333333333332,15,9,13,32,0.0,362.10555555555555,2.1333333333333333
1,2022-01-26,5392.07,215.6828,25,7,19,54,45.2,770.2957142857142,2.16
1,2022-01-27,3699.77,184.9885,20,7,16,48,48.91,528.5385714285715,2.4
1,2022-01-28,3299.29,235.66357142857143,14,7,12,32,0.0,471.32714285714286,2.2857142857142856
1,2022-01-29,6026.45,182.61969696969697,33,11,22,68,41.61,547.8590909090909,2.0606060606060606
1,2022-01-30,1463.95,133.08636363636364,11,3,9,17,14.57,487.98333333333335,1.5454545454545454
1,2022-01-31,2467.61,154.225625,16,5,12,30,62.519999999999996,493.52200000000005,1.875
1,2022-02-01,4493.31,160.47535714285715,28,11,19,56,98.07,408.4827272727273,2.0
1,2022-02-02,4949.15,197.96599999999998,25,8,22,52,104.43,618.64375,2.08
1,2022-02-03,2397.25,239.725,10,6,8,22,78.69,399.5416666666667,2.2
1,2022-02-04,3069.85,170.54722222222222,18,9,14,32,0.0,341.09444444444443,1.7777777777777777
1,2022-02-05,4500.77,195.68565217391307,23,11,16,47,122.1,409.1609090909091,2.0434782608695654
1,2022-02-06,2921.4700000000003,182.59187500000002,16,9,13,31,22.29,324.6077777777778,1.9375
1,2022-02-07,1656.04,236.57714285714286,7,5,7,17,0.0,331.20799999999997,2.4285714285714284
1,2022-02-08,2112.7999999999997,211.27999999999997,10,6,8,25,49.55,352.13333333333327,2.5
1,2022-02-09,3687.0299999999997,307.2525,12,5,10,28,20.21,737.406,2.3333333333333335
1,2022-02-10,3043.53,190.220625,16,7,13,28,14.84,434.79,1.75
1,2022-02-11,2692.5299999999997,168.28312499999998,16,7,12,35,22.2,384.6471428571428,2.1875
1,2022-02-12,3903.24,169.70608695652172,23,7,16,42,71.85,557.6057142857143,1.826086956521739
1,2022-02-13,14728.32,263.0057142857143,56,20,30,126,88.83,736.4159999999999,2.25
1,2022-02-14,1577.03,143.36636363636364,11,4,8,18,1.03,394.2575,1.6363636363636365
1,2022-02-15,2951.55,155.34473684210528,19,7,11,38,26.35,421.65000000000003,2.0
1,2022-02-16,5332.12,197.48592592592593,27,11,18,54,85.53999999999999,484.73818181818183,2.0
1,2022-02-17,1740.68,174.068,10,4,8,17,31.67,435.17,1.7
1,2022-02-18,3589.12,211.12470588235294,17,9,14,35,21.07,398.7911111111111,2.0588235294117645
1,2022-02-19,7137.38,187.8257894736842,38,15,27,71,36.42,475.82533333333333,1.868421052631579
1,2022-02-20,5744.38,239.34916666666666,24,11,19,46,186.16,522.2163636363637,1.9166666666666667
1,2022-02-21,3387.79,211.736875,16,6,11,31,71.67,564.6316666666667,1.9375
1,2022-02-22,4710.8,214.12727272727273,22,7,18,50,122.26,672.9714285714286,2.272727272727273
1,2022-02-23,4012.57,143.30607142857144,28,10,21,48,108.27000000000001,401.257,1.7142857142857142
1,2022-02-24,8663.77,192.52822222222224,45,12,29,84,188.67000000000002,721.9808333333334,1.8666666666666667
