TransactionID,Timestamp,StoreID,CustomerID,ProductID,ProductName,ProductCategory,Quantity,UnitPrice,TotalPrice,PaymentMethod,PromotionApplied,DiscountAmount
10000,2022-01-01 18:48:45,1,Cust_0103,P105,Product P105,Electronics,2,126.37,252.74,Cash,False,0.0
10001,2022-01-01 09:19:34,1,Cust_0810,P147,Product P147,Grocery,2,41.7,83.4,Mobile Pay,False,0.0
10001,2022-01-01 09:19:34,1,Cust_0810,P132,Product P132,Electronics,2,36.18,59.43,Credit Card,True,12.93
10001,2022-01-01 09:19:34,1,Cust_0810,P110,Product P110,Books,1,94.88,94.88,Cash,False,0.0
10002,2022-01-01 13:00:55,1,Cust_0918,P130,Product P130,Electronics,2,193.46,386.92,Cash,False,0.0
10002,2022-01-01 13:00:55,1,Cust_0918,P107,Product P107,Electronics,1,107.92,107.92,Credit Card,False,0.0
10002,2022-01-01 13:00:55,1,Cust_0918,P109,Product P109,Books,3,40.91,122.73,Cash,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P140,Product P140,Grocery,2,5.74,11.48,Debit Card,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P144,Product P144,Grocery,3,62.46,187.38,Debit Card,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P143,Product P143,Books,1,142.01,142.01,Debit Card,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P144,Product P144,Grocery,3,62.46,187.38,Cash,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P138,Product P138,Home Goods,3,22.97,68.91,Cash,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P112,Product P112,Home Goods,1,127.13,127.13,Cash,False,0.0
10003,2022-01-01 17:55:12,1,Cust_0199,P123,Product P123,Books,3,5.56,14.21,Cash,True,2.47
10003,2022-01-01 17:55:12,1,Cust_0199,P122,Product P122,Home Goods,1,172.99,148.96,Cash,True,24.03
10004,2022-01-01 11:55:13,1,Cust_0710,P131,Product P131,Grocery,1,169.99,169.99,Credit Card,False,0.0
10004,2022-01-01 11:55:13,1,Cust_0710,P100,Product P100,Grocery,2,131.9,263.8,Credit Card,False,0.0
10004,2022-01-01 11:55:13,1,Cust_0710,P104,Product P104,Apparel,2,159.3,318.6,Cash,False,0.0
10004,2022-01-01 11:55:13,1,Cust_0710,P114,Product P114,Apparel,3,84.25,252.75,Mobile Pay,False,0.0
10004,2022-01-01 11:55:13,1,Cust_0710,P117,Product P117,Electronics,2,195.87,391.74,Cash,False,0.0
